TV Bandos;A Montero;E Fernandez;JLG Santander;JM Isidro;J Perez;
E Oset;P Fernandez;LL Salcedo;R Brockmann;;;
A Montagud;E Navarro;P Fernandez;JF Urchueguia;;;
TV Bandos;A Montero;P Fernandez;JF Urchueguia;;;
A Ferrando;M Zacares;P Fernandez;D Binosi;JA Monsoriu;;
A Ferrando;M Zacares;MA Garcia March;JA Monsoriu;P Fernandez;;
P Fernandez;E Oset;;;;;
A Ferrando;M Zacares;P Fernandez;D Binosi;JA Monsoriu;;
S Hirenzaki;P Fernandez;E Oset;;;;
A Montagud;A Zelezniak;E Navarro;P Fernandez;JF Urchueguia;;
E Marco;E Oset;P Fernandez;;;;
P Fernandez;E Oset;MJ Vicente Vacas;Y Ratis;J Nieves;;
JM Corberan;P Fernandez;J Gonzalvez;F Alias;;;
P Fernandez;J Nieves;E Oset;MJ Vicente Vacas;;;
E Navarro;A Montagud;P Fernandez;JF Urchueguia;;;
HC Chiang;E Oset;P Fernandez;;;;
A Ferrando;M Zacares;P Fernandez;D Binosi;A Montero;;
DL Skuratov;YL Ratis;IA Selezneva;J Perez;P Fernandez;;
J Triana;A Montagud;M Siurana;D Fuente;A Urchueguia;;
MEI Martinez;JA Antonino Daviu;P Fernandez;JA Conejero;;;
J Perez;S Hoyas;DL Skuratov;YL Ratis;IA Selezneva;P Fernandez;
P Fernandez;E Oset;;;;;
LH Mosquera;G Moraga;P Fernandez;N Martinez Navarrete;;;
P Fernandez;LM Garcia Raffi;JM Sanchis;;;;
NG Kelkar;E Oset;P Fernandez;;;;
ME Iglesias Martinez;P Fernandez;JA Antonino Daviu;JA Conejero;;;
C Moret Tatay;D Gamermann;E Navarro Pardo;;;;
E Oset;P Fernandez;J Nieves;A Ramos;LL Salcedo;;
M Lopo;A Montagud;E Navarro;I Cunha;A Zille;P Fernandez;
JA Monsoriu;FR Villatoro;MJ Marin;JF Urchueguia;P Fernandez;;
D Acosta;P Fernandez;JM Isidro;JLG Santander;;;
P Fernandez;E Marco;H Muther;E Oset;A Faessler;;
P Fernandez;E Oset;MJ Vicente Vacas;;;;
C Moret Tatay;C Leth Steensen;TQ Irigaray;IIL Argimon;D Gamermann;;
P Fernandez;LM Garcia Raffi;A Mayado;JM Sanchis;;;
IM Tkachenko;P Fernandez;;;;;
S Pomme;K Pelczar;;;;;
D Acosta;P Fernandez;JM Isidro;JLG Santander;;;
ME Iglesias Martinez;JA Antonino Daviu;P Fernandez;;;;
P Parra Rivas;S Hetzel;YV Kartashov;P Fernandez;;;
D Cabrera;AN Hiller Blin;MJ Vicente Vacas;P Fernandez;;;
C Moreta Tatay;A Moreno Cid;IIL Argimon;T Quarti Irigaray;;;
YL Ratis;P Fernandez;;;;;
R Reyes;D Gamermann;A Montagud;D Fuente;J Triana;JF Urchueguia;
E Oset;P Fernandez;J Nieves;MJ Vicente Vacas;;;
JC Castro Palacio;K Ladutenko;A Prada;G Gonzalez Rubio;;;
A Moreno Cid;C Moret Tatay;TQ Irigaray;IIL Argimon;M Murphy;;
S Hirenzaki;E Oset;P Fernandez;;;;
A Ferrando;M Zacares;P Andrees;P Fernandez;JA Monsoriu;;
V Milian Sanchez;F Scholkmann;P Fernandez;;;;
P Fernandez;JM Isidro;MH Perea;;;;
MEI Martinez;JA Antonino Daviu;P Fernandez;JA Conejero;L Dunai;;
I Orquin;MA Garcia March;P Fernandez;JF Urcheguia;JA Monsoriu;;
JL Bastardo;SA Ibrahim;P Fernandez;JFU Scholzel;YL Ratis;;
JL Gonzalez Santander;J Perez;P Fernandez;JM Isidro;;;
A Montagud;D Gamermann;P Fernandez;JF Urchueguia;;;
JM Corberan;P Fernandez;S Ortuno;V Ferri;P Montes;;
C Gastaldi;M Urrea;P Fernandez;;;;
FR Villatoro;J Perez;JLG Santander;MA Borovsky;YL Ratis;;
IAC Toribio;P Fernandez;IO Serrano;;;;
S Sahu;CE Lopez Fortin;ME Iglesias Martinez;S Nagataki;;;
P Fernandez;JM Isidro;J Vazquez Molina;;;;
E Balvis;R Bendana;H Michinel;P Fernandez;A Paredes;;
J Segura;P Fernandez;YL Ratis;;;;
L Alvarez Ruso;P Fernandez;E Oset;;;;
IM Tkachenko;;;;;;
JM Isidro;JLG Santander;P Fernandez;;;;
JM Corberan;P Fernandez;SOVFJ Gonzalvez;T Setaro;G Boccardi;;
P Fernandez;E Oset;;;;;
F Florez;P Fernandez;JL Higon;G Olivar;J Taborda;;
D Gamermann;A Montagud;JA Conejero;JF Urchueguia;;;
JM Isidro;JLG Santander;PFA De COrdoba;;;;
M Urrea;IM Tkachenko;P Fernandez;;;;
M Zaera;M Esteve;CE Palau;JC Guerri;FJ Martinez;P Fernandez;
JC Castro Palacio;P Fernandez;JM Isidro;S Sahu;;;
ME Iglesias Martinez;JC Castro Palacio;F Scholkmann;;;;
M Hernaiz Guijarro;JC Castro Palacio;E Navarro Pardo;JM Isidro;;;
ME Iglesias Martinez;JM Garcia Gomez;C Saez;;;;
KC Madan;;;;;;
C Vilanova;A Hueso;C Palanca;G Marco;M Pitarch;E Otero;J Crespo
LG Estornell;P Fernandez;RS Moscardo;;;;
R Robledo Fava;MC Hernandez Luna;P Fernandez;;;;
R Gaitan;A Hernandez Galeana;JM Rivera Rebolledo;;;;
JLG Santander;P Castaneda Porras;YL Ratis;JM Isidro;;;
ME Iglesias Martinez;P Fernandez;JA Antonino Daviu;JA Conejero;;;
JM Isidro;P Fernandez;;;;;
D Gamermann;A Montagud;RA Infante;J Triana;P Fernandez;;
S Abraham;P Fernandez;JM Isidro;JLG Santander;;;
IAC Toribio;P Fernandez;A Valdez;;;;
MEI Martinez;JG Carmenate;J Antonino Daviu;L Dunai;CA Platero;;
JC Castro Palacio;JM Isidro;E Navarro Pardo;L Velazquez Abad;;;
D Cabrera;P Fernandez;JM Isidro;;;;
P Fernandez;JM Isidro;;;;;
P Fernandez;JM Isidro;MH Perea;J Vazquez Molina;;;
TV Bandos;A Montero;PJ Fernandez de Cordoba;JF Urchueguia;;;
R Gaitan;A Hernandez Galeana;JM Rivera Rebolledo;;;;
S Hirenzaki;E Oset;P Fernandez;;;;
SB Ivars;YV Kartashov;P Fernandez;JA Conejero;L Torner;C Milian;
N Ortigosa;M Orellana Panchame;JC Castro Palacio;PF Cordoba;;;
ME Iglesias Martinez;M Hernaiz Guijarro;JC Castro Palacio;;;;
F Florez;P Fernandez;J Taborda;M Polo;JC Castro Palacio;;
JC Castro Palacio;P Fernandez;JM Isidro;E Navarro Pardo;;;
P Carrasco;R Bendana;A Paredes;H Michinel;P Fernandez;;
M Hernandez Luna;R Robledo Fava;P Fernandez;;;;
ME Iglesias Martinez;P Fernandez;JA Antonino Daviu;JA Conejero;;;
D Cabrera;P Fernandez;JM Isidro;J Vazquez Molina;;;
P Fernandez;JM Isidro;JV Molina;;;;
RA Jaime Infante;ZH Martinez;J Triana Dopic;OF Telle;AM Aquino;;
J Delas;M Notari;J Fores;J Pechuan;M Porcar;E Navarro;A Montagud
J Perez;FR Villatoro;JLG Santander;MA Borovsky;YL Ratis;;
L Monreal;P Fernandez;A Ferrando;JM Isidro;;;
P Fernandez;R Gaitan Lozano;A Hernandez Galeana;;;;
MEI Martinez;JA Antonino Daviu;C Platero;L Dunai;JA Conejero;;
JC Castro Palacio;P Fernandez;JM Isidro;;;;
JM Isidro;P Fernandez;;;;;
D Gamermann;C Moret Tatay;E Navarro Pardo;;;;
P Fernandez;JM Isidro;J Vazquez Molina;;;;
P Fernandez Castella;;;;;;
JM Isidro;P Fernandez;JM Rivera Rebolledo;JLG Santander;;;
MA Garcia March;M Arevalillo Herraez;FR Villatoro;F Gimenez;;;
S Abraham;P Fernandez;JM Isidro;JLG Santander;;;
TV Bandos;A Montero;JL Gonzalez;JM Isidro;J Perez;E Fernandez;
G Rodrigo;A Montagud;A Aparici;MC Aroca;M Baguena;J Carrera;
E Oset;P Fernandez;BL Alvaredo;MJV Vacas;;;
ME Iglesias Martinez;P Fernandez;JA Antonino Daviu;;;;
A Gonzalez Zumba;P Fernandez;JC Cortes;V Mehrmann;;;
D Alarcon;E Balvis;R Bendana;AJ Conejero;CP Fernandez;JLD Higon;
IA Selezneva;YL Ratis;E Hernandez;J Perez Quiles;;;
JL Gonzalez Santander;JM Isidro;MA Garcia March;P Fernandez;;;
A Ferrando;M Zacares;P Fernandez;;;;
RG Torrome;;;;;;
JG Carmenate;MEI Martinez;JA Antonino Daviu;C Platero;;;
ME Iglesias Martinez;PM Velasco Pla;J Antonino Daviu;JG Carmenate;;;
JM Isidro;P Fernandez;JC Castro Palacio;;;;
F Florez Montes;P Fernandez;JL Higon Calvet;JA Conejero;;;
D Gamermann;A Montagud;JA Conejero;P Fernandez;;;
M Hernandez Luna;R Robledo Fava;P Fernandez;;;;
R Reyes;J Garrido;RA Jaime;V Cordova;J Triana;L Villar;JC Castro
IM Tkachenko;P Fernandez;;;;;
BL Alvaredo;E Oset;MJ Vicente Vacas;SW Huang;P Fernandez;;
R Bru;J Cerdan;P Fernandez;A Urbano;;;
P Fernandez;JM Isidro;R Roy;;;;
CAR Perez;MEI Martinez;JG Carmenate;HM Alvarez;E Balvis;;
MEI Martinez;JG Carmenate;JA Antonino Daviu;L Dunai;;;
RG Torrome;JM Isidro;P Fernandez;;;;
JC Castro Palacio;P Fernandez;RG Torrome;JM Isidro;;;
MEI Martinez;JA Antonino Daviu;CA Platero;L Dunai;JA Conejero;;
JC Castro Palacio;P Fernandez;JM Isidro;E Navarro Pardo;;;
F Florez;P Fernandez;GO Tost;;;;
D Cabrera;P Fernandez;JM Isidro;;;;
E Balvis;R Bendana;H Michinel;P Fernandez;;;
I Orquin Serrano;FR Villatoro;A Ferrando;P Fernandez;;;
RDD Brodsky;TP Vilar;AV Martinez;EN Pardo;P Fernandez;;
MA Garcia March;F Gimenez;FR Villatoro;J Perez;P Fernandez;;
A Ferrando;M Zacares;P Fernandez;D Binosi;;;
IM Tkachenko;J Alcober;F de Cordoba;;;;
MEI Martinez;JA Antonino Daviu;L Dunai;CA Platero;JA Conejero;;
CA Reyes Perez;ME Iglesias Martinez;J Guerra Carmenate;;;;
F Florez;JA Alzate Grisales;P Fernandez;;;;
P Fernandez;FF Montes;MEI Martinez;JG Carmenate;;;
P Fernandez;RG Torrome;S Gavasso;JM Isidro;;;
S De Maria Garcia;A Ferrando;JA Conejero;P Fernandez;;;
MEI Martinez;MAG March;CM Enrique;P Fernandez;;;
A Mocholi;F Mocholi;V Milian Sanchez;J Guerra Carmenate;;;
F Gimenez Palomares;P Fernandez;JC Mejuto;;;;
MEI Martinez;JA Antonino Daviu;C Platero;L Dunai;A Conejero;;
F Florez;P Fernandez;J Taborda;JC Castro Palacio;;;
ME Iglesias Martinez;P Fernandez;JA Antonino Daviu;;;;
D Alarcon;P Fernandez;JM Isidro;C Orea;;;
D Cabrera;P Fernandez;JM Isidro;JM Valdes Placeres;;;
D Gamermann;A Montagud;JA Conejero;P Fernandez;JF Urchieguia;;
RR Chirino;JG Gonzalez;RAJ Infante;VC Vazquez;JT Dopico;;
S JLG;PC Porras;R Yu L;I JM;P Fernandez;;
JM Isidro;P Fernandez;JM Rivera Rebolledo;JLG Santander;;;
JM Isidro;JL Gonzalez Santander;P Fernandez;;;;
JM Isidro;P Fernandez;;;;;
JL Gonzalez Santander;J Perez;P Fernandez;JM Isidro;;;
JM Isidro;P Fernandez;;;;;
IA Camargo Toribio;P Fernandez Castella;I Orquin Serrano;;;;
P Fernandez;JFU Scholzel;D Tommasini;;;;
JA Oller;E Oset;A De Pace;P Fernandez;;;
IM Tkachenko;MU Nunez;P Fernandez;;;;
S Hirenzaki;P Fernandez;N Fukunishi;D Hirata;H Kitagawa;;
J Segura;P Fernandez;;;;;
S Ortuno Molina;A Garmendia Martinez;P Fernandez;;;;
ME Iglesias Martinez;JA Antonino Daviu;L Dunai;JA Conejero;;;
S Hoyas;R Vinuesa;M Oberlack;P Fernandez;JM Isidro;;
R Gallego Torrome;;;;;;
FM Munoz Perez;JC Castro Palacio;J Guerra Carmenate;;;;
JA Taborda;MEI Martinez;P Fernandez;;;;
P Fernandez;VM Castano;;;;;
VM Castano;P Fernandez;JA Sans;G Violini;;;
V Milian Sanchez;ME Iglesias Martinez;JG Carmenate;;;;
RP CA;IM ME;JG Carmenate;E Balvis;P Fernandez;;
P Fernandez;JM Isidro;R Roy;;;;
J Taborda;JCC Palacio;P Fernandez;;;;
J Guerra Carmenate;MEI Martinez;PMV Pla;JAA Daviu;L Dunai;;
SB Ivars;YV Kartashov;P Fernandez;JA Conejero;L Torner;C Milian;
P Parra Rivas;S Hetzel;YV Kartashov;P Fernandez;JA Conejero;;
P Fernandez;JM Isidro;R Roy;;;;
JG Carmenate;MEI Martinez;JA Antonino Daviu;P Fernandez;;;
P Fernandez;RG Torrome;S Gavasso;JM Isidro;;;
JC Castro Palacio;P Fernandez;;;;;
F Gimenez Palomares;P Fernandez;JC Mejuto;;;;
J Carlos Castro Palacio;P Fernandez;JM Isidro;;;;
P Fernandez;S Rexroth;JF Urchueguia Scholzel;;;;
YL Ratis;P Fernandez;JM Isidro;R Jaime;;;
C Moret Tatay;D Gamermann;P Fernandez;;;;
P Fernandez;JM Isidro;;;;;
MH Guijarro;E Navarro Pardo;D Alarcon;JCC Palacio;P Fernandez;;
D Alarcon;E Balvis;R Bendana;JA Conejero;P Fernandez;;
I San Juan;J Maria;P Fernandez;;;;
MC Moret Tatay;D Gamermann;P Fernandez Castella;;;;
F Florez;JLH Calvet;P Fernandez;;;;
PFD Cordoba;JM Isidro San Juan;;;;;
JC Castro Palacio;L Velazquez Abad;MH Perea;E Navarro Pardo;;;
MH Guijarro;JCC Palacio;EN Pardo;P Fernandez;;;
JCC Palacio;E Navarro Pardo;D Acosta Iglesias;A Vazquez Martinez;;;
D Cabrera;P Fernandez;JM Isidro San Juan;;;;
I Orquin Serrano;J Vijande;FR Villatoro;A Ferrando;P Fernandez;;
J Triana Dopico;A Montagud Aquino;M Siurana Paula;;;;
JLG Santander;JM Isidro;MA Garcia March;P Fernandez;DA Iglesias;;
D Gamermann;A Montagud;P Aparicio;E Navarro;J Triana;FR Villatoro;
FO Ordaz;IAC Toribio;P Fernandez;;;;
F Ortiz Ordaz;I Camargo Toribio;PF Cordoba Castella;;;;
A Ferrando;C Milian;D Ceballos;I Orquin;MA Garcia March;;
M Pitarch;J Crespo;A Hueso;G Marco;E Otero;C Palanca;S Rivera
JFU Scholzel;P Fernandez;;;;;
A Ferrando;MA Garcia March;M Zacares;P Fernandez;;;
JMR Rebolledo;P Fernandez;;;;;
R Gaitan;A Hernandez Galeana;JM Rivera Rebolledo;P Fernandez;;;
MA Garcia March;F Gimenez;FR Villatoro;P Fernandez;;;
P Fernandez;IO Serrano;;;;;
A Ferrando;MA Garcia March;M Zacares;P Fernandez;JA Monsoriu;;
A Ferrando;M Zacares;MA Garcia March;P Fernandez;D Binosi;;
IA Camargo Toribio;P Fernandez;I Orquin Serrano;;;;
IA Camargo Toribio;P Fernandez;A Valdez;;;;
IA Camargo Toribio;PF Cordoba Castella;I Orquin Serrano;;;;
I Estevez Valdes;A Notario de la Torre;D Alvarez Lazo;;;;
IAC Toribio;P Fernandez;IO Serrano;MA Labrador;;;
IA Camargo Toribio;PF Cordoba Castella;I Orquin Serrano;;;;
A Ferrando;M Zacares;P Andres;P Fernandez;D Binosi;;
OF Tellez;ML Gallego;P Fernandez;RC Fernandez;;;
JM Rivera Rebolledo;J Peltoniemi;P Fernandez;;;;
A Ferrando;M Zacares;P Fernandez;;;;
P Fernandez;LM Garcia Raffi;JM Sanchis;A Ferrando;;;
A Ferrando;JJ Miret;E Silvestre;P Fernandez;;;
E Oset;JA Gomez Tejedor;F Cano;L Alvarez Ruso;JA Oller;S Hirenzaki;
JA Oller Berber;E Oset Baguena;A De Pace;P Fernandez;;;
IM Tkachenko;P Fernandez;;;;;
IM Tkachenko;P Fernandez;JM Belda;;;;
E Oset1;JAGTF Cano1;S Hirenzaki;P Fernandez;L Alvarez Ruso1;;
E Oset1;JAGTF Cano1;S Hirenzaki;P Fernandez;L Alvarez Ruso1;;
P Fernandez;;;;;;
P Fernandez;JJS Sala;MU Nunez;;;;
E Oset;S Hirenzaki;P Fernandez;;;;
P Fernandez;E Marco;H Muther;E Oset;A Faessler;;
E Oset;S Hirenzaki;P Fernandez;;;;
JJS Sala;P Fernandez;;;;;
RC Carrasco;P Fernandez;;;;;
E Marco Rubio;E Oset Baguena;P Fernandez;;;;
C Fernandez;;;;;;
E Oset;P Fernandez;MJ Vicente Vacas;;;;
E Oset;MJ Vicente Vacas;B Lopez Alvaredo;P Fernandez;;;
P Fernandez;IM Tkachenko;;;;;
DG Peiro;J Segura;CF Talavera;P Fernandez;;;
E Oset;P Fernandez;MJ Vicente Vacas;J Nieves;;;
P Fernandez;MJ Vicente Vacas;E Oset;;;;
E Oset Baguena;P Fernandez;JM Nieves Pamplona;;;;
P Fernandez;YL Ratis;;;;;
E Oset;MJ Vicente Vacas;J Nieves;P Fernandez;;;
P Fernandez;;;;;;
P Fernandez;E Oset;;;;;
P Fernandez;;;;;;
P Fernandez;;;;;;
P Fernandez;;;;;;
P Fernandez;E Oset;;;;;
P Fernandez;E Oset;LL Salcedo;;;;
P Fernandez;E Oset;;;;;
P Mayo;P Castaneda;S Abraham;P Fernandez;J Perez;;
PC Porras;P Fernandez;AQ Silverio;EH Vargas;;;
MEI Martinez;PMV Pla;JAA Daviu;L Dunai;JA Conejero;P Fernandez;
SB Ivars;YV Kartashov;P Fernandez;;;;
JC Castro Palacio;O Pena Rodriguez;P Fernandez;;;;
C Moret Tatay;D Gamermann;P Fernandez;;;;
S JLG;PC Porras;I JM;P Fernandez;;;
ZH Martinez;RA Jaime Infante;J Triana Dopico;OF Tellez;;;
A Vazquez Martinez;E Navarro Pardo;NF Robaina;;;;
MLA Arteaga;MEI Martinez;CEM Nsing;P Fernandez;;;
I JM;P Fernandez;RR JM;S JLG;;;
A Montagud;PJF de Cordoba;E Navarro;KR Patil;JF Urchueguia;;
P Fernandez;R Gaitan;A Hernandez Galeana;JM Rivera Rebolledo;;;
A Ferrando;E Silvestre;M Zacares;P Andres;MV Andres;B Gimeno;
C Gastaldi;P Fernandez;M Urrea;JL Llorens;;;
M Zacares;A Ferrando;P Andres;P Fernandez;F Gimenez;D Binosi;
M Lopo;A Montagud;E Navarro;I Cunha;A Zille;P Fernandez;
RC Fernandez;ML Gallego;JM Luque;P Fernandez;BS Castillo;;
IM ME;JM Garcia Gomez;C Saez;P Fernandez;A Conejero;;
IAC Toribio;P Fernandez;;;;;
MJP Quiles;P Fernandez;SH Calvo;FV Machuca;;;
