S Hoyas;H Herrero;AM Mancho;;;;;;;;;;;;
S Hoyas;R Vinuesa;P Schmid;H Nagib;;;;;;;;;;;
V Avsarkisov;M Oberlack;S Hoyas;;;;;;;;;;;;
M Atzori;P Torres;A Vidal;S Le Clainche;S Hoyas;R Vinuesa;;;;;;;;;
S Hoyas;A Gil;P Fajardo;MJ Perez Quiles;;;;;;;;;;;
MS Escarti Guillem;LM Garcia Raffi;S Hoyas;;;;;;;;;;;;
M Oberlack;S Hoyas;SV Kraheberger;F Alcantara Avila;J Laux;;;;;;;;;;
S Gandia Barbera;A Cremades;R Vinuesa;S Hoyas;MJ Perez Quiles;;;;;;;;;;
V Avsarkisov;S Hoyas;M Oberlack;JP Garcia Galache;;;;;;;;;;;
E Lopez Nunez;P Fajardo;S Hoyas;MJ Perez Quiles;;;;;;;;;;;
A Cremades;S Hoyas;R Vinuesa;;;;;;;;;;;;
V Avsarkisov;M Oberlack;S Hoyas;G Khujadze;;;;;;;;;;;
S Hoyas;J Jimenez;;;;;;;;;;;;;
F Lluesma;T Gonzalez;S Hoyas;;;;;;;;;;;;
J Galindo;S Hoyas;P Fajardo; Navarro R;;;;;;;;;;;
F Lluesma;A Arguedas;S Hoyas;A Sanchez;J Vicen;;;;;;;;;;
X Margot;S Hoyas;A Gil;S Patouna;;;;;;;;;;;
A Sanchez Roncero;O Garibo i Orts;JA Conejero;H Eivazi;F Mallor;E Rosenberg;F Fuso Nerini;J Garcia Martinez;R Vinuesa;S Hoyas;;;;;
H Eivazi;S Le Clainche;S Hoyas;R Vinuesa;;;;;;;;;;;
D Plumacher;M Oberlack;S Hoyas;;;;;;;;;;;;
S Gandia Barbera;S Hoyas;M Oberlack;S Kraheberger;;;;;;;;;;;
Desantes JM;S Hoyas;A Gil;KA Dung;F Ravet;;;;;;;;;;
S Hoyas;AM Mancho;H Herrero;N Garnier;A Chiffaudel;;;;;;;;;;
X Margot;S Hoyas;P Fajardo;S Patouna;;;;;;;;;;;
X Margot;S Hoyas;P Fajardo;S Patouna;;;;;;;;;;;
Salvador FJ;S Hoyas;R Novella;J Martinez Lopez;;;;;;;;;;;
S Hoyas;JM Pastor;D Khuong Anh;JM Mompo Laborda;F Ravet;;;;;;;;;;
A Sanchez;E Lazpita;A Corrochano;S Le Clainche;S Hoyas;R Vinuesa;;;;;;;;;
F Alcantara Avila;S Hoyas;M Jezabel Perez Quiles;;;;;;;;;;;;
F Alcantara Avila;S Gandia Barbera;S Hoyas;;;;;;;;;;;;
S Kraheberger;S Hoyas;M Oberlack;;;;;;;;;;;;
MP Simens;J Jimenez;S Hoyas;Y Mizuno;;;;;;;;;;;
MS Escarti Guillem;LM Garcia Raffi;S Hoyas;;;;;;;;;;;;
J Perez;S Hoyas;DL Skuratov;YuL Ratis;IA Selezneva;PF de Cordoba;JF Urchueguia;;;;;;;;
F Larosa;S Hoyas;J Garcia Martinez;JA Conejero;F Fuso Nerini;R Vinuesa;;;;;;;;;
C Guardiola;S Hoyas;B Pla;D Blanco Rodriguez;;;;;;;;;;;
MS Escarti Guillem;S Hoyas;LM Garcia Raffi;;;;;;;;;;;;
S Kraheberger;S Hoyas;M Oberlack;;;;;;;;;;;;
S Hoyas;P Fajardo;MJ Perez Quiles;;;;;;;;;;;;
H Eivazi;S Le Clainche;S Hoyas;R Vinuesa;;;;;;;;;;;
Schmekel D;F Alcantara Avila;S Hoyas;R Vinuesa;;;;;;;;;;;
E Lopez Nunez;MJ Perez Quiles;P Fajardo;S Hoyas;;;;;;;;;;;
V AvsarkisovS;M Oberlack;S Hoyas;;;;;;;;;;;;
I Marin;S Hoyas;;;;;;;;;;;;;
JJ Aguilar Fuertes;F Noguero Rodriguez;JC Jaen Ruiz;LM Garcia Raffi;S Hoyas;;;;;;;;;;
R Minambres Herraiz;G Pita Macpherson;MI Sanchez Guiu;D Serra Esteve;R Rosa Ferrero;E Rubio Solsona;A Palacios;A Llaneza Folgueras;PI Marron;S Hoyas;A Lluch Hernandez;A Sanchez;A Gonzalez Neira;JC Trivino Pardo;J Benitez Ortiz
J Jimenez;S Hoyas;MP Simens;Y Mizuno;;;;;;;;;;;
F Lluesma;F Alcantara Avila;MJ Perez Quiles;S Hoyas;;;;;;;;;;;
JJ Aguilar Fuertes;F Noguero Rodriguez;JC Jaen Ruiz;LM Garcia Raffi;S Hoyas;;;;;;;;;;
L Yu;MZ Yousif;M Zhang;S Hoyas;R Vinuesa;H C Lim;;;;;;;;;
V Avsarkisov;M Oberlack;S Hoyas;A Rosteck;JP Garcia Galache;A Frank;;;;;;;;;
R Pardo;H Herrero;S Hoyas;;;;;;;;;;;;
S Hoyas;A Gil;JM Mompo Laborda;D Khuong Anh;;;;;;;;;;;
S Hoyas;A Ianiro;MJ Perez Quiles;P Fajardo;;;;;;;;;;;
A Cremades;S Hoyas;R Deshpande;P Quintero;M Lellep;WJ Lee;JP Monty;N Hutchins;M Linkmann;I Marusic;R Vinuesa;;;;
H Nagib;R Vinuesa;S Hoyas;;;;;;;;;;;;
Ramirez FN;MS Escarti Guillem;LM Garcia Raffi;S Hoyas;;;;;;;;;;;
S Hoyas;JM Pastor;D Khuong Anh;JM Mompo Laborda;F Ravet;;;;;;;;;;
M Oberlack;S Hoyas;J Laux;D Klingenberg;;;;;;;;;;;
MS Escarti Guillem;LM Garcia Raffi;S Hoyas;O Gloth;;;;;;;;;;;
V Avsarkisov;M Oberlack;S Hoyas;;;;;;;;;;;;
MS Escarti Guillem;S Hoyas;LM Garcia Raffi;;;;;;;;;;;;
H Herrero;S Hoyas;A Donoso;AM Mancho;JM Chacon;RF Portugues;B Yeste;;;;;;;;
S Hoyas;A Gil;P Fajardo;D Khuong Anh;F Ravet;;;;;;;;;;
M Prieto;MS Escarti Guillem;S Hoyas;;;;;;;;;;;;
F Alcantara Avila;S Gandia Barbera;S Hoyas;;;;;;;;;;;;
MZ Yousif;L Yu;S Hoyas;R Vinuesa;HC Lim;;;;;;;;;;
E Lazpita;A Sanchez;A Corrochano;S Hoyas;S Le Clainche;R Vinuesa;;;;;;;;;
Navarro MC;H Herrero;S Hoyas;;;;;;;;;;;;
S Hoyas;M Oberlack;R Vinuesa;PF de Cordoba;JM Isidro;MJ Perez Quiles;;;;;;;;;
F Alcantara Avila;S Hoyas;;;;;;;;;;;;;
F Lluesma;S Hoyas;;;;;;;;;;;;;
S Hoyas;M Oberlack;;;;;;;;;;;;;
S Hoyas;SV Kraheberger;M Oberlack;;;;;;;;;;;;
S Hoyas;P Fajardo;A Gil;MJ Perez Quiles;;;;;;;;;;;
S Hoyas;H Herrero;AM Mancho;;;;;;;;;;;;
J Jimenez;S Hoyas;MP Simens;Y Mizuno;;;;;;;;;;;
S Kraheberger;S Hoyas;M Oberlack;;;;;;;;;;;;
A Sanchez Roncero;O Garibo i Orts;JA Conejero;H Eivazi;E Rosenberg;F Fuso Nerini;J Garcia Martinez;S Hoyas;R Vinuesa;;;;;;
F Alcantara Avila;S Hoyas;MJ Perez Quiles;;;;;;;;;;;;
S Hoyas;A Gil;X Margot;D Khuong Anh;F Ravet;;;;;;;;;;
S Hoyas;H Herrero;AM Mancho;;;;;;;;;;;;
S Hoyas;M Oberlack;F Alcantara Avila;SV Kraheberger;J Laux;;;;;;;;;;
F Alcantara Avila;LM Garcia Raffi;S Hoyas;M Oberlack;;;;;;;;;;;
S Hoyas;J Jimenez;;;;;;;;;;;;;
AM Mancho;L Vazquez;H Herrero;S Hoyas;;;;;;;;;;;
S Gandia Barbera;F Alcantara Avila;S Hoyas;V Avsarkisov;;;;;;;;;;;
O Sanchez;H Herrero;S Hoyas;AE Mucientes;;;;;;;;;;;
F Lluesma;S Hoyas;MJ Perez Quiles;;;;;;;;;;;;
AJ Torregrosa;S Hoyas;A Gil;JPG Galache;;;;;;;;;;;
F Lluesma;T Gonzalez;S Hoyas;;;;;;;;;;;;
H Nagib;V Baxerres;R Vinuesa;S Hoyas;;;;;;;;;;;
P Torres;B Sirmacek;S Hoyas;R Vinuesa;;;;;;;;;;;
J Jimenez;S Hoyas;;;;;;;;;;;;;
AJ Torregrosa;S Hoyas;MJ Perez Quiles;JM Mompo Laborda;;;;;;;;;;;
J Amo Navarro;R Vinuesa;JA Conejero;S Hoyas;;;;;;;;;;;
V Avsarkisov;M Oberlack;S Hoyas;;;;;;;;;;;;
